id,data,dia_semana,horario,uf,br,km,municipio,CAUSA_ACIDENTE,TIPO_ACIDENTE,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
572061,02/01/2024,terça-feira,30/12/1899,PB,101,117,CAAPORA,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Aclive,Não,3,0,1,0,2,0,1,2,-741357983,-3495743528,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
572284,03/01/2024,quarta-feira,30/12/1899,PB,230,"123,2",RIACHAO DO BACAMARTE,Reação tardia ou ineficiente do condutor,Colisão transversal,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta;Declive,Não,4,0,0,0,4,0,0,2,-725545435,-3567290783,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
572418,03/01/2024,quarta-feira,30/12/1899,PB,104,"191,6",ALCANTIL,Condutor Dormindo,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Aclive;Reta,Não,7,1,2,2,1,1,4,3,-7726364,-36074449,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
572498,03/01/2024,quarta-feira,30/12/1899,PB,230,390,SAO BENTINHO,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Curva,Sim,4,0,1,1,1,2,2,4,-68946,-377176,SPRF-PB,DEL03-PB,UOP02-DEL03-PB
573010,06/01/2024,sábado,30/12/1899,PB,230,"256,2",ASSUNCAO,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Retorno Regulamentado;Reta;Interseção de Vias,Não,6,0,0,0,6,0,0,2,-70177,-366742,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
573388,08/01/2024,segunda-feira,30/12/1899,PB,104,"130,5",CAMPINA GRANDE,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-729013399,-3589029705,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
573496,09/01/2024,terça-feira,30/12/1899,PB,101,"11,7",MAMANGUAPE,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva;Aclive;Em Obras,Não,2,0,1,0,0,2,1,3,-659461177,-3514474869,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
573643,09/01/2024,terça-feira,30/12/1899,PB,101,110,ALHANDRA,Suicídio (presumido),Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Não,4,1,0,0,1,2,0,3,-735255626,-3494940909,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
573678,10/01/2024,quarta-feira,30/12/1899,PB,101,"42,2",MAMANGUAPE,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,1,0,0,0,1,0,2,-685879418,-3513429236,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
573885,11/01/2024,quinta-feira,30/12/1899,PB,361,"75,5",PIANCO,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Ignorado,Simples,Curva,Não,4,0,0,1,3,0,1,1,-7190908,-3785121,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
574029,11/01/2024,quinta-feira,30/12/1899,PB,230,159,CAMPINA GRANDE,Desrespeitar a preferência no cruzamento,Colisão transversal,Sem Vítimas,Anoitecer,Crescente,Chuva,Simples,Interseção de Vias,Sim,2,0,0,0,2,0,0,2,-7252,-359334,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
574037,11/01/2024,quinta-feira,30/12/1899,PB,101,"45,2",MAMANGUAPE,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,0,0,0,2,0,0,2,-688322894,-351303459,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
574072,11/01/2024,quinta-feira,30/12/1899,PB,104,143,QUEIMADAS,Acessar a via sem observar a presença dos outros veículos,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,3,0,0,1,2,0,1,2,-740477903,-3589667929,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
574090,11/01/2024,quinta-feira,30/12/1899,PB,230,57,CRUZ DO ESPIRITO SANTO,Ingestão de álcool pelo condutor,Colisão com objeto,Sem Vítimas,Plena Noite,Decrescente,Chuva,Dupla,Reta,Não,3,0,0,0,2,2,0,4,-72028,-351125,SPRF-PB,DEL01-PB,UOP03-DEL01-PB
574322,12/01/2024,sexta-feira,30/12/1899,PB,104,"151,3",QUEIMADAS,Manobra de mudança de faixa,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Simples,Reta,Não,2,0,1,0,0,1,1,2,-746590398,-3592585804,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
574584,14/01/2024,domingo,30/12/1899,PB,101,31,RIO TINTO,Demais falhas mecânicas ou elétricas,Tombamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta;Declive,Não,2,0,0,0,1,2,0,3,-6758091,-3513408691,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
574776,14/01/2024,domingo,30/12/1899,PB,230,137,MASSARANDUBA,Reação tardia ou ineficiente do condutor,Colisão com objeto,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,Não,1,0,0,0,1,0,0,1,-727605,-35782045,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
574913,15/01/2024,segunda-feira,30/12/1899,PB,230,"17,8",JOAO PESSOA,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,4,1,0,0,1,3,0,5,-71121,-348426,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
575019,08/01/2024,segunda-feira,30/12/1899,PB,101,83,BAYEUX,Acessar a via sem observar a presença dos outros veículos,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,4,0,1,0,3,0,1,4,-71337703,-3492963914,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
